c_indentation_checker.py: DEBUG: <module>(): 200:	File: binary_matrix.c
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	return result;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	return result;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally }

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: }
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to }
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: }
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally /*

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: /*
c_indentation_checker.py: DEBUG: stripComments(): 47:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Input:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Input:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      num_rows

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      num_rows
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Output:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Output:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Free everything

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Free everything
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Summary:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Summary:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Deallocates the memory used for *M

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Deallocates the memory used for *M
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  */

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  */
c_indentation_checker.py: DEBUG: stripComments(): 35:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally void DeleteBinaryMatrix(BinaryMatrix * M)

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: void DeleteBinaryMatrix(BinaryMatrix * M)
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to void DeleteBinaryMatrix(BinaryMatrix * M)
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: void DeleteBinaryMatrix(BinaryMatrix * M)
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	for (int i = 0; i < M->num_rows; i++) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	for (int i = 0; i < M->num_rows; i++) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	for (int i = 0; i < M->num_rows; i++) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	for (int i = 0; i < M->num_rows; i++) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		free(M->data[i]);

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		free(M->data[i]);
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		free(M->data[i]);
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		free(M->data[i]);
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	free(M->data);	

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	free(M->data);
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	free(M->data);
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	free(M->data);
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	free(M);

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	free(M);
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	free(M);
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	free(M);
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally }

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: }
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to }
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: }
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally /*

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: /*
c_indentation_checker.py: DEBUG: stripComments(): 47:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Input:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Input:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      int row

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      int row
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      int col

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      int col
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      int content

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      int content
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Output:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Output:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      If row and col are not valid indicies for *M return error message and exit program

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      If row and col are not valid indicies for *M return error message and exit program
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      If content is not a 0 or 1 return error message and exit program

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      If content is not a 0 or 1 return error message and exit program
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Summary:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Summary:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Updates (row, col) entry with content

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Updates (row, col) entry with content
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  */

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  */
c_indentation_checker.py: DEBUG: stripComments(): 35:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally void UpdateEntry(BinaryMatrix * M, int row, int col, int content)

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: void UpdateEntry(BinaryMatrix * M, int row, int col, int content)
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to void UpdateEntry(BinaryMatrix * M, int row, int col, int content)
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: void UpdateEntry(BinaryMatrix * M, int row, int col, int content)
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (!(IsMatrixIndex(M, row, col))) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (!(IsMatrixIndex(M, row, col))) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (!(IsMatrixIndex(M, row, col))) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (!(IsMatrixIndex(M, row, col))) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		printf("Error in UpdateEntry: index out of bounds\n");

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		printf("Error in UpdateEntry: index out of bounds\n");
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		printf("Error in UpdateEntry: index out of bounds\n");
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		printf("Error in UpdateEntry: index out of bounds\n");
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		exit(EXIT_FAILURE);

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (!(content == 0 || content == 1)) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (!(content == 0 || content == 1)) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (!(content == 0 || content == 1)) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (!(content == 0 || content == 1)) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		printf("Error in UpdateEntry: content must be 0 or 1\n");

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		printf("Error in UpdateEntry: content must be 0 or 1\n");
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		printf("Error in UpdateEntry: content must be 0 or 1\n");
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		printf("Error in UpdateEntry: content must be 0 or 1\n");
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		exit(EXIT_FAILURE);

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	M->data[row][col] = content;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	M->data[row][col] = content;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	M->data[row][col] = content;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	M->data[row][col] = content;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally }

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: }
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to }
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: }
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally /*

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: /*
c_indentation_checker.py: DEBUG: stripComments(): 47:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Input:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Input:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      BinaryMatrix* M

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      BinaryMatrix* M
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      int row

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      int row
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      int col

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      int col
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      int content

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      int content
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Output:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Output:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Returns true if row and col are valid indicies for *M and false otherwise

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Returns true if row and col are valid indicies for *M and false otherwise
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Checks that *M is not NULL and if it is print error message

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Checks that *M is not NULL and if it is print error message
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Summary:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Summary:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Reads if else statements

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Reads if else statements
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  */

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  */
c_indentation_checker.py: DEBUG: stripComments(): 35:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally int IsMatrixIndex(BinaryMatrix * M, int row, int col)

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: int IsMatrixIndex(BinaryMatrix * M, int row, int col)
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to int IsMatrixIndex(BinaryMatrix * M, int row, int col)
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: int IsMatrixIndex(BinaryMatrix * M, int row, int col)
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (M == NULL) {		

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (M == NULL) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (M == NULL) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (M == NULL) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		printf("IsMatrixIndex Error: NULL parameter passed\n");

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		printf("IsMatrixIndex Error: NULL parameter passed\n");
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		printf("IsMatrixIndex Error: NULL parameter passed\n");
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		printf("IsMatrixIndex Error: NULL parameter passed\n");
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		exit(EXIT_FAILURE);

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		exit(EXIT_FAILURE);
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (!(col <= M->num_cols - 1)) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (!(col <= M->num_cols - 1)) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (!(col <= M->num_cols - 1)) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (!(col <= M->num_cols - 1)) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		return 0;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		return 0;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		return 0;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		return 0;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

